block trial startTime trialName trialType stopTime L_targetTime R_targetTime Choice L_press R_press L2_press R2_press L_RT R_RT L2_RT R2_RT
7 294 1114.1 Stop-right 4 550 800 800 2 0 0 1 0 nan nan 909.4 nan
7 295 1117.2 Go 1 0 800 800 1 1 1 0 0 801.9 801.9 nan nan
7 296 1120.3 Stop-all 2 620 800 800 2 0 0 1 1 nan nan 775.1 791.2
7 297 1123.5 Go 1 0 800 800 1 1 1 0 0 786.1 802.1 nan nan
7 298 1126.6 Go 1 0 800 800 1 1 1 0 0 802.2 802.2 nan nan
7 299 1129.9 Stop-right 4 585 800 800 1 1 0 0 0 847.9 nan nan nan
7 300 1133.3 Go 1 0 800 800 2 0 0 1 1 nan nan 812.2 812.2
7 301 1136.6 Go 1 0 800 800 1 1 1 0 0 787.6 803.5 nan nan
7 302 1140.0 Go 1 0 800 800 2 0 0 1 1 nan nan 793.4 793.4
7 303 1143.4 Stop-right 4 620 800 800 1 1 1 0 0 758.1 773.9 nan nan
7 304 1146.8 Go 1 0 800 800 1 1 1 0 0 808.0 824.0 nan nan
7 305 1149.9 Stop-left 3 585 800 800 2 0 0 0 1 nan nan nan 984.5
7 306 1153.1 Go 1 0 800 800 1 1 1 0 0 779.1 794.9 nan nan
7 307 1156.2 Go 1 0 800 800 2 0 0 1 1 nan nan 831.9 831.9
7 308 1159.4 Stop-all 2 585 800 800 2 0 0 0 0 nan nan nan nan
7 309 1162.5 Go 1 0 800 800 2 0 0 1 1 nan nan 804.6 804.6
7 310 1165.8 Go 1 0 800 800 1 1 1 0 0 796.7 796.7 nan nan
7 311 1169.2 Go 1 0 800 800 2 0 0 1 1 nan nan 807.0 822.8
7 312 1172.3 Go 1 0 800 800 1 1 1 0 0 798.4 798.4 nan nan
7 313 1175.8 Go 1 0 800 800 2 0 0 1 1 nan nan 792.3 792.3
7 314 1179.3 Go 1 0 800 800 1 1 1 0 0 803.8 803.8 nan nan
7 315 1182.7 Stop-right 4 585 800 800 1 1 1 0 0 837.4 821.5 nan nan
7 316 1185.9 Go 1 0 800 800 2 0 0 1 1 nan nan 770.9 786.7
7 317 1189.4 Stop-left 3 620 800 800 2 0 0 0 1 nan nan nan 848.8
7 318 1192.9 Go 1 0 800 800 1 1 1 0 0 791.9 791.9 nan nan
7 319 1196.4 Stop-all 2 620 800 800 1 1 1 0 0 802.2 802.2 nan nan
7 320 1199.5 Go 1 0 800 800 1 1 1 0 0 820.4 820.4 nan nan
