block trial startTime trialName trialType stopTime L_targetTime R_targetTime Choice L_press R_press L2_press R2_press L_RT R_RT L2_RT R2_RT
4 183 650.7 Go 1 0 0 0 1 1 1 0 0 498.7 498.7 nan nan
4 184 654.0 Go 1 0 0 0 1 1 1 0 0 395.9 395.9 nan nan
4 185 657.0 Go 1 0 0 0 1 1 1 0 0 374.1 374.1 nan nan
4 186 660.5 Go 1 0 0 0 1 1 1 0 0 352.5 352.5 nan nan
4 187 663.6 Stop-all 2 180 0 0 2 0 0 0 0 nan nan nan nan
4 188 667.1 Stop-left 3 250 0 0 1 1 1 0 0 371.1 371.1 nan nan
4 189 670.5 Stop-right 4 250 0 0 2 0 0 1 0 nan nan 572.3 nan
4 190 673.9 Go 1 0 0 0 2 0 0 1 1 nan nan 476.9 492.5
4 191 677.0 Stop-left 3 215 0 0 2 0 0 0 1 nan nan nan 524.8
4 192 680.3 Go 1 0 0 0 1 1 1 0 0 412.3 412.3 nan nan
4 193 683.6 Go 1 0 0 0 2 0 0 1 1 nan nan 485.8 517.8
4 194 687.0 Stop-all 2 215 0 0 1 1 1 0 0 379.1 394.9 nan nan
4 195 690.0 Go 1 0 0 0 1 1 1 0 0 484.6 484.6 nan nan
4 196 693.4 Go 1 0 0 0 1 1 1 0 0 402.2 402.2 nan nan
4 197 696.9 Go 1 0 0 0 1 1 1 0 0 504.7 504.7 nan nan
4 198 700.0 Go 1 0 0 0 2 0 0 1 1 nan nan 422.2 438.0
4 199 703.3 Go 1 0 0 0 2 0 0 1 1 nan nan 459.6 459.6
4 200 706.6 Stop-all 2 180 0 0 2 0 0 0 0 nan nan nan nan
4 201 709.8 Go 1 0 0 0 2 0 0 1 1 nan nan 449.6 465.8
4 202 713.1 Go 1 0 0 0 1 1 1 0 0 450.7 450.7 nan nan
4 203 716.2 Go 1 0 0 0 2 0 0 1 1 nan nan 408.8 408.8
4 204 719.4 Stop-all 2 215 0 0 2 0 0 0 0 nan nan nan nan
4 205 722.8 Stop-right 4 285 0 0 1 1 1 0 0 365.6 365.6 nan nan
4 206 726.1 Go 1 0 0 0 2 0 0 1 1 nan nan 493.7 493.7
4 207 729.6 Stop-left 3 250 0 0 1 1 1 0 0 375.7 375.7 nan nan
4 208 733.1 Go 1 0 0 0 2 0 0 1 1 nan nan 465.3 480.7
4 209 736.1 Go 1 0 0 0 2 0 0 1 1 nan nan 435.1 450.9
4 210 739.3 Go 1 0 0 0 2 0 0 1 1 nan nan 532.3 532.3
4 211 742.7 Stop-right 4 250 0 0 2 0 0 1 0 nan nan 548.6 nan
4 212 745.8 Go 1 0 0 0 1 1 1 0 0 469.8 485.3 nan nan
4 213 749.3 Stop-left 3 215 0 0 2 0 0 0 1 nan nan nan 497.3
4 214 752.5 Go 1 0 0 0 1 1 1 0 0 448.6 448.6 nan nan
4 215 755.8 Stop-right 4 285 0 0 1 1 1 0 0 449.2 449.2 nan nan
4 216 758.9 Go 1 0 0 0 2 0 0 1 1 nan nan 507.0 507.0
5 217 767.5 Go 1 0 0 0 2 0 0 1 1 nan nan 393.6 393.6
5 218 770.5 Go 1 0 0 0 2 0 0 1 1 nan nan 325.9 325.9
5 219 774.0 Go 1 0 0 0 1 1 1 0 0 272.8 272.8 nan nan
5 220 777.4 Go 1 0 0 0 1 1 1 0 0 565.6 565.6 nan nan
5 221 780.7 Go 1 0 0 0 2 0 0 1 1 nan nan 512.9 528.6
5 222 784.1 Stop-right 4 250 0 0 2 0 0 1 0 nan nan 535.6 nan
5 223 787.5 Stop-all 2 250 0 0 2 0 0 1 1 nan nan 413.4 413.4
5 224 791.0 Stop-left 3 250 0 0 1 0 1 0 0 nan 581.3 nan nan
5 225 794.2 Go 1 0 0 0 1 1 1 0 0 506.9 506.9 nan nan
5 226 797.5 Go 1 0 0 0 2 0 0 1 1 nan nan 516.1 516.1
5 227 800.8 Go 1 0 0 0 2 0 0 1 1 nan nan 540.2 572.4
5 228 804.1 Go 1 0 0 0 1 1 1 0 0 448.0 448.0 nan nan
5 229 807.2 Go 1 0 0 0 1 1 1 0 0 402.8 402.8 nan nan
5 230 810.6 Stop-all 2 215 0 0 2 0 0 1 1 nan nan 361.7 361.7
5 231 813.7 Stop-right 4 285 0 0 1 1 1 0 0 347.7 347.7 nan nan
5 232 816.8 Stop-right 4 250 0 0 1 1 1 0 0 353.2 353.2 nan nan
5 233 820.2 Go 1 0 0 0 2 0 0 1 1 nan nan 461.6 461.6
5 234 823.7 Stop-all 2 180 0 0 2 0 0 0 0 nan nan nan nan
5 235 826.9 Go 1 0 0 0 2 0 0 1 1 nan nan 571.3 571.3
5 236 830.0 Go 1 0 0 0 1 1 1 0 0 450.5 450.5 nan nan
5 237 833.3 Go 1 0 0 0 2 0 0 1 1 nan nan 440.4 440.4
5 238 836.7 Go 1 0 0 0 2 0 0 1 1 nan nan 381.4 381.4
5 239 840.1 Stop-left 3 285 0 0 1 1 1 0 0 253.9 253.9 nan nan
5 240 843.3 Stop-left 3 250 0 0 1 1 1 0 0 394.4 394.4 nan nan
5 241 846.6 Go 1 0 0 0 1 1 1 0 0 519.9 519.9 nan nan
5 242 850.0 Go 1 0 0 0 2 0 0 1 1 nan nan 450.1 450.1
5 243 853.5 Go 1 0 0 0 1 1 1 0 0 342.7 342.7 nan nan
5 244 856.9 Stop-right 4 215 0 0 1 1 1 0 0 296.6 296.6 nan nan
5 245 860.0 Go 1 0 0 0 2 0 0 1 1 nan nan 323.0 323.0
5 246 863.3 Stop-all 2 215 0 0 2 0 0 0 0 nan nan nan nan
5 247 866.5 Go 1 0 0 0 2 0 0 1 1 nan nan 441.5 441.5
5 248 869.8 Go 1 0 0 0 1 1 1 0 0 478.4 478.4 nan nan
5 249 873.3 Go 1 0 0 0 1 1 1 0 0 348.7 348.7 nan nan
5 250 876.4 Go 1 0 0 0 2 0 0 1 1 nan nan 466.2 466.2
5 251 879.8 Go 1 0 0 0 1 1 1 0 0 230.5 230.5 nan nan
5 252 882.9 Stop-left 3 215 0 0 1 0 1 0 0 nan 571.8 nan nan
6 253 888.2 Go 1 0 0 0 1 1 1 0 0 243.2 227.8 nan nan
6 254 891.7 Go 1 0 0 0 1 1 1 0 0 279.6 263.5 nan nan
6 255 894.7 Stop-all 2 250 0 0 1 0 0 0 0 nan nan nan nan
6 256 897.9 Go 1 0 0 0 2 0 0 1 1 nan nan 359.5 359.5
6 257 901.0 Go 1 0 0 0 2 0 0 1 1 nan nan 482.6 482.6
6 258 904.1 Go 1 0 0 0 1 1 1 0 0 371.0 371.0 nan nan
6 259 907.6 Stop-right 4 180 0 0 2 0 0 1 0 nan nan 508.4 nan
6 260 910.9 Go 1 0 0 0 2 0 0 1 1 nan nan 491.4 491.4
6 261 914.3 Stop-right 4 215 0 0 2 0 0 1 0 nan nan 661.6 nan
6 262 917.8 Stop-left 3 250 0 0 1 1 1 0 0 415.0 415.0 nan nan
6 263 921.0 Go 1 0 0 0 2 0 0 1 1 nan nan 521.7 521.7
